sale_id,timestamp,item_id,customer_id,city,quantity,unit_price,total_price
8685,2025-08-01 18:44:47,board-game,170,Iași,1,21.96,21.96
8686,2025-08-01 12:48:13,usb-charger,824,București,10,13.94,139.40
8687,2025-08-01 18:02:29,paperback-novel,445,Brașov,1,10.15,10.15
8688,2025-08-01 18:13:18,headphones,1288,București,1,21.57,21.57
8689,2025-08-01 21:37:18,board-game,147,Cluj-Napoca,1,21.96,21.96
8690,2025-08-01 09:39:19,doll-classic,858,Cluj-Napoca,2,17.86,35.72
8691,2025-08-01 12:12:50,swim-goggles,1001,Timișoara,1,10.82,10.82
8692,2025-08-01 15:06:45,headphones,668,Brașov,1,21.57,21.57
8693,2025-08-01 09:25:12,beach-ball,608,Iași,2,4.25,8.50
8694,2025-08-01 21:11:56,beach-ball,1322,Timișoara,1,4.25,4.25
8695,2025-08-01 12:51:09,scented-candle,1401,Iași,2,6.47,12.94
