sale_id,timestamp,item_id,customer_id,city,quantity,unit_price,total_price
8803,2025-08-11 12:21:17,beach-ball,1027,Constanța,1,4.25,4.25
8804,2025-08-11 09:34:23,swim-goggles,129,Brașov,1,10.82,10.82
8805,2025-08-11 15:16:28,beach-ball,1416,Timișoara,1,4.25,4.25
8806,2025-08-11 18:00:43,notebook-a5,607,Timișoara,1,3.44,3.44
8807,2025-08-11 15:16:53,usb-charger,351,Brașov,3,13.94,41.82
8808,2025-08-11 21:48:32,doll-classic,1151,București,1,17.86,17.86
8809,2025-08-11 12:00:10,beach-ball,1167,București,1,4.25,4.25
8810,2025-08-11 18:57:18,usb-charger,1149,Timișoara,1,13.94,13.94
8811,2025-08-11 15:44:52,beach-ball,1304,Iași,1,4.25,4.25
8812,2025-08-11 12:13:48,headphones,706,Constanța,1,21.57,21.57
8813,2025-08-11 15:29:25,swim-goggles,185,Brașov,1,10.82,10.82
