sale_id,timestamp,item_id,customer_id,city,quantity,unit_price,total_price
5799,2025-01-05 21:38:55,paperback-novel,496,Constanța,1,10.15,10.15
5800,2025-01-05 15:19:29,paperback-novel,143,Constanța,2,10.15,20.30
5801,2025-01-05 15:54:03,winter-gloves,1408,Iași,1,17.06,17.06
5802,2025-01-05 15:33:30,scented-candle,76,Constanța,1,6.42,6.42
5803,2025-01-05 12:54:50,doll-classic,1489,Brașov,1,16.72,16.72
5804,2025-01-05 21:37:41,beach-ball,633,Cluj-Napoca,1,4.50,4.50
5805,2025-01-05 12:00:54,board-game,200,Constanța,1,21.96,21.96
5806,2025-01-05 18:49:46,swim-goggles,453,Iași,2,10.82,21.64
5807,2025-01-05 15:23:55,notebook-a5,771,Constanța,1,3.44,3.44
5808,2025-01-05 21:23:01,headphones,715,București,1,21.47,21.47
5809,2025-01-05 21:41:23,winter-gloves,1426,Cluj-Napoca,2,17.06,34.12
5810,2025-01-05 15:36:13,headphones,976,București,1,21.47,21.47
