sale_id,timestamp,item_id,customer_id,city,quantity,unit_price,total_price
3685,2024-05-08 15:56:02,notebook-a5,312,București,1,3.30,3.30
3686,2024-05-08 15:44:19,swim-goggles,893,Brașov,2,9.90,19.80
3687,2024-05-08 21:25:25,paperback-novel,746,Timișoara,1,8.90,8.90
3688,2024-05-08 18:09:29,paperback-novel,383,Timișoara,1,8.90,8.90
3689,2024-05-08 12:24:29,scented-candle,1369,București,1,6.60,6.60
3690,2024-05-08 12:26:19,doll-classic,560,București,1,15.90,15.90
3691,2024-05-08 21:20:12,winter-gloves,307,Constanța,1,17.06,17.06
3692,2024-05-08 09:06:06,winter-gloves,391,București,1,17.06,17.06
3693,2024-05-08 12:06:22,swim-goggles,825,Constanța,1,9.90,9.90
3694,2024-05-08 12:15:18,notebook-a5,375,Iași,1,3.30,3.30
3695,2024-05-08 21:46:08,headphones,303,Constanța,2,21.47,42.94
3696,2024-05-08 21:25:11,notebook-a5,805,București,2,3.30,6.60
