sale_id,timestamp,item_id,customer_id,city,quantity,unit_price,total_price
7343,2025-04-25 15:58:00,garden-hose,645,Iași,1,18.03,18.03
7344,2025-04-25 12:55:43,notebook-a5,1194,Constanța,1,3.44,3.44
7345,2025-04-25 15:45:16,headphones,1477,Brașov,1,21.47,21.47
7346,2025-04-25 18:15:32,notebook-a5,942,Cluj-Napoca,1,3.44,3.44
7347,2025-04-25 15:48:09,board-game,939,Constanța,1,21.96,21.96
7348,2025-04-25 18:48:55,paperback-novel,539,Constanța,1,10.15,10.15
7349,2025-04-25 21:57:47,winter-gloves,1265,Constanța,1,17.06,17.06
7350,2025-04-25 15:51:12,beach-ball,1336,Timișoara,2,4.50,9.00
7351,2025-04-25 18:20:08,swim-goggles,811,Cluj-Napoca,1,10.82,10.82
7352,2025-04-25 15:43:28,board-game,1311,Constanța,1,21.96,21.96
7353,2025-04-25 15:40:25,headphones,870,Constanța,2,21.47,42.94
7354,2025-04-25 15:08:33,doll-classic,172,București,1,16.72,16.72
7355,2025-04-25 15:27:14,usb-charger,183,Iași,2,13.68,27.36
7356,2025-04-25 18:12:55,scented-candle,1147,Timișoara,1,6.42,6.42
7357,2025-04-25 15:25:36,notebook-a5,1300,Cluj-Napoca,1,3.44,3.44
7358,2025-04-25 18:57:03,doll-classic,235,București,1,16.72,16.72
7359,2025-04-25 18:17:13,doll-classic,245,Constanța,1,16.72,16.72
