sale_id,timestamp,item_id,customer_id,city,quantity,unit_price,total_price
8855,2025-08-16 15:50:13,notebook-a5,284,Brașov,1,3.44,3.44
8856,2025-08-16 18:13:36,paperback-novel,1158,Iași,1,10.15,10.15
8857,2025-08-16 12:01:36,garden-hose,140,Constanța,1,18.84,18.84
8858,2025-08-16 09:10:34,swim-goggles,429,Timișoara,2,10.82,21.64
8859,2025-08-16 09:28:22,garden-hose,1368,Constanța,2,18.84,37.68
8860,2025-08-16 18:21:02,notebook-a5,1399,Constanța,1,3.44,3.44
8861,2025-08-16 21:53:45,headphones,562,Constanța,1,21.57,21.57
8862,2025-08-16 18:01:06,headphones,1215,Timișoara,1,21.57,21.57
8863,2025-08-16 09:28:17,swim-goggles,1045,Iași,1,10.82,10.82
8864,2025-08-16 09:35:13,scented-candle,1313,Cluj-Napoca,1,6.47,6.47
8865,2025-08-16 15:01:30,notebook-a5,1392,Brașov,1,3.44,3.44
8866,2025-08-16 15:01:06,notebook-a5,555,Brașov,1,3.44,3.44
8867,2025-08-16 12:59:08,winter-gloves,958,București,1,15.99,15.99
8868,2025-08-16 09:36:51,swim-goggles,755,Constanța,2,10.82,21.64
8869,2025-08-16 09:06:23,headphones,154,București,1,21.57,21.57
8870,2025-08-16 15:50:37,usb-charger,1034,Cluj-Napoca,1,13.94,13.94
