sale_id,timestamp,item_id,customer_id,city,quantity,unit_price,total_price
5825,2025-01-07 12:27:17,beach-ball,1046,Constanța,1,4.50,4.50
5826,2025-01-07 12:41:25,notebook-a5,199,Constanța,1,3.44,3.44
5827,2025-01-07 15:14:25,doll-classic,447,București,2,16.72,33.44
5828,2025-01-07 09:23:48,garden-hose,424,Constanța,1,18.03,18.03
5829,2025-01-07 09:12:04,swim-goggles,1388,București,1,10.82,10.82
5830,2025-01-07 12:06:28,scented-candle,10,București,1,6.42,6.42
5831,2025-01-07 15:19:19,swim-goggles,935,Cluj-Napoca,1,10.82,10.82
5832,2025-01-07 12:10:47,scented-candle,360,Iași,1,6.42,6.42
5833,2025-01-07 18:07:30,swim-goggles,779,Timișoara,1,10.82,10.82
5834,2025-01-07 21:35:10,beach-ball,349,Cluj-Napoca,1,4.50,4.50
5835,2025-01-07 18:33:59,usb-charger,560,București,1,13.68,13.68
