sale_id,timestamp,item_id,customer_id,city,quantity,unit_price,total_price
7522,2025-05-08 09:14:06,headphones,46,Brașov,1,21.47,21.47
7523,2025-05-08 15:16:23,winter-gloves,405,Iași,1,17.06,17.06
7524,2025-05-08 12:31:06,board-game,1117,Brașov,1,21.96,21.96
7525,2025-05-08 12:11:55,scented-candle,934,Brașov,1,6.42,6.42
7526,2025-05-08 15:26:27,board-game,894,Cluj-Napoca,1,21.96,21.96
7527,2025-05-08 15:02:18,usb-charger,377,Constanța,1,13.68,13.68
7528,2025-05-08 15:41:03,paperback-novel,441,București,2,10.15,20.30
7529,2025-05-08 21:12:27,notebook-a5,614,Constanța,1,3.44,3.44
7530,2025-05-08 09:52:05,usb-charger,1440,Constanța,1,13.68,13.68
7531,2025-05-08 18:28:27,board-game,1311,Constanța,1,21.96,21.96
7532,2025-05-08 15:53:55,scented-candle,1371,Brașov,1,6.42,6.42
7533,2025-05-08 21:04:44,board-game,1273,București,1,21.96,21.96
7534,2025-05-08 15:58:15,board-game,1211,București,1,21.96,21.96
7535,2025-05-08 12:51:32,notebook-a5,328,Iași,2,3.44,6.88
