sale_id,timestamp,item_id,customer_id,city,quantity,unit_price,total_price
6612,2025-03-06 21:44:33,garden-hose,781,București,2,18.03,36.06
6613,2025-03-06 12:49:35,winter-gloves,699,Constanța,2,17.06,34.12
6614,2025-03-06 12:08:00,notebook-a5,1308,Timișoara,1,3.44,3.44
6615,2025-03-06 15:19:48,headphones,1016,Constanța,1,21.47,21.47
6616,2025-03-06 15:44:09,scented-candle,922,București,1,6.42,6.42
6617,2025-03-06 21:49:47,paperback-novel,574,Constanța,1,10.15,10.15
6618,2025-03-06 12:23:56,usb-charger,1217,Timișoara,1,13.68,13.68
6619,2025-03-06 15:02:07,swim-goggles,1496,Iași,1,10.82,10.82
6620,2025-03-06 15:32:59,doll-classic,463,București,1,16.72,16.72
6621,2025-03-06 18:50:04,doll-classic,1408,Iași,1,16.72,16.72
6622,2025-03-06 09:01:35,winter-gloves,1486,Timișoara,1,17.06,17.06
6623,2025-03-06 12:59:28,garden-hose,495,Constanța,1,18.03,18.03
6624,2025-03-06 15:12:11,doll-classic,196,București,1,16.72,16.72
6625,2025-03-06 18:54:39,usb-charger,951,Brașov,1,13.68,13.68
6626,2025-03-06 12:20:08,notebook-a5,1119,Timișoara,1,3.44,3.44
6627,2025-03-06 21:10:16,usb-charger,48,Iași,1,13.68,13.68
6628,2025-03-06 09:08:20,notebook-a5,1176,București,1,3.44,3.44
6629,2025-03-06 12:34:05,board-game,1092,Cluj-Napoca,2,21.96,43.92
