purchase_id,timestamp,item_id,quantity,unit_cost,total_cost
82,2025-02-01 23:59:59,doll-classic,120,6.70,804.00
83,2025-02-02 23:59:59,doll-classic,120,7.46,895.20
84,2025-02-03 23:59:59,doll-classic,120,7.19,862.80
85,2025-02-04 23:59:59,doll-classic,120,7.56,907.20
86,2025-02-05 23:59:59,doll-classic,120,7.10,852.00
87,2025-02-06 23:59:59,doll-classic,120,7.31,877.20
88,2025-02-23 23:59:59,usb-charger,150,4.95,742.50
89,2025-02-24 23:59:59,usb-charger,150,4.69,703.50
90,2025-02-26 23:59:59,headphones,100,8.95,895.00
91,2025-02-27 23:59:59,headphones,100,8.35,835.00
92,2025-02-28 23:59:59,headphones,100,9.69,969.00
