purchase_id,timestamp,item_id,quantity,unit_cost,total_cost
1,2023-01-07 23:59:59,scented-candle,220,2.30,506.00
2,2023-01-08 23:59:59,scented-candle,220,2.38,523.60
3,2023-01-09 23:59:59,scented-candle,220,2.37,521.40
4,2023-01-10 23:59:59,usb-charger,150,4.63,694.50
5,2023-01-10 23:59:59,scented-candle,220,2.16,475.20
6,2023-01-11 23:59:59,usb-charger,150,5.14,771.00
7,2023-01-11 23:59:59,scented-candle,220,2.25,495.00
8,2023-01-12 23:59:59,usb-charger,150,4.61,691.50
9,2023-01-12 23:59:59,scented-candle,220,2.34,514.80
10,2023-01-15 23:59:59,usb-charger,150,5.27,790.50
11,2023-01-17 23:59:59,usb-charger,150,4.80,720.00
