purchase_id,timestamp,item_id,quantity,unit_cost,total_cost
33,2023-03-01 23:59:59,doll-classic,120,6.70,804.00
34,2023-03-02 23:59:59,doll-classic,120,7.36,883.20
35,2023-03-05 23:59:59,garden-hose,90,7.52,676.80
36,2023-03-06 23:59:59,garden-hose,90,7.14,642.60
37,2023-03-07 23:59:59,garden-hose,90,8.07,726.30
38,2023-03-08 23:59:59,garden-hose,90,7.86,707.40
39,2023-03-09 23:59:59,garden-hose,90,7.99,719.10
40,2023-03-10 23:59:59,garden-hose,90,7.53,677.70
41,2023-03-11 23:59:59,garden-hose,90,6.79,611.10
42,2023-03-24 23:59:59,swim-goggles,150,4.28,642.00
43,2023-03-25 23:59:59,swim-goggles,150,4.60,690.00
44,2023-03-26 23:59:59,swim-goggles,150,3.80,570.00
45,2023-03-27 23:59:59,swim-goggles,150,4.19,628.50
46,2023-03-28 23:59:59,swim-goggles,150,3.79,568.50
47,2023-03-29 23:59:59,paperback-novel,200,3.62,724.00
48,2023-03-29 23:59:59,swim-goggles,150,4.26,639.00
49,2023-03-29 23:59:59,board-game,120,8.28,993.60
50,2023-03-30 23:59:59,paperback-novel,200,3.82,764.00
51,2023-03-30 23:59:59,swim-goggles,150,3.88,582.00
52,2023-03-30 23:59:59,board-game,120,8.79,1054.80
53,2023-03-31 23:59:59,paperback-novel,200,3.61,722.00
54,2023-03-31 23:59:59,board-game,120,8.67,1040.40
