purchase_id,timestamp,item_id,quantity,unit_cost,total_cost
93,2025-03-01 23:59:59,usb-charger,150,4.73,709.50
94,2025-03-01 23:59:59,headphones,100,8.26,826.00
95,2025-03-02 23:59:59,headphones,100,8.15,815.00
96,2025-03-03 23:59:59,headphones,100,8.84,884.00
97,2025-03-04 23:59:59,headphones,100,8.26,826.00
98,2025-03-05 23:59:59,headphones,100,8.19,819.00
99,2025-03-20 23:59:59,board-game,120,7.68,921.60
100,2025-03-21 23:59:59,board-game,120,9.30,1116.00
101,2025-03-22 23:59:59,board-game,120,7.88,945.60
102,2025-03-23 23:59:59,board-game,120,8.90,1068.00
103,2025-03-24 23:59:59,board-game,120,8.89,1066.80
104,2025-03-25 23:59:59,board-game,120,8.35,1002.00
