purchase_id,timestamp,item_id,quantity,unit_cost,total_cost
55,2023-04-01 23:59:59,paperback-novel,200,3.47,694.00
56,2023-04-01 23:59:59,board-game,120,9.04,1084.80
57,2023-04-02 23:59:59,paperback-novel,200,3.68,736.00
58,2023-04-02 23:59:59,board-game,120,9.08,1089.60
59,2023-04-03 23:59:59,paperback-novel,200,3.30,660.00
60,2023-04-03 23:59:59,board-game,120,7.75,930.00
61,2023-04-04 23:59:59,paperback-novel,200,3.81,762.00
62,2023-04-05 23:59:59,paperback-novel,200,3.71,742.00
63,2023-04-06 23:59:59,paperback-novel,200,3.16,632.00
64,2023-04-07 23:59:59,paperback-novel,200,3.28,656.00
